	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
Phosphoenolpyruvic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid	0.996169569495619	0.995975477500888	0.996062594534866	0.9961005583732	0.996138052910871	0.996208894354009	0.99592721423554	0.996105017845211	0.996060924814565	0.996071118912159	0.996184243394945	0.996014684155626	0.995978363651574	0.996070489125357	0.996046207300088	0.996035161056624	0.995999467912387	0.995989351600176	0.99599115961227	0.99599772879137	0.996055416309211	0.996114986279799	0.996186593512373	0.995994500438067	0.996132991391358	0.996246688151202	0.996051760608539	0.996077166645931	0.996100440914313	0.996067781083434	0.99601668895667	0.996178580583198	0.996061417717953	0.995969806137341	0.995935510945724	0.995903403267933	0.980373866526704	0.979007295796873	0.97311720505768	0.981332969241575	0.979611600384656	0.983193128353858	0.978534478509106	0.976787596299441	0.980126819852647	0.978235044640746	0.978545878497649	0.976573671467527	0.976652222935875	0.980398856620329	0.981724587585954	0.976087107225594	0.9736494139723	0.979951926732129	0.981176728749348	0.982344821248399	0.982893975908719	0.983950155325975	0.975193385889834	0.981143490400924	0.973048888977137	0.979345434097336	0.973594010758196	0.980544075873575	0.978237037190108	0.98113431693267	0.98106519373445	0.975623343861642	0.981057297112723	0.978373403361441	0.978510234526732	0.977726812997291
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dihydroxyacetone_phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	0.00762749174596484	0.00167577130357252	0.00593710042258954	0.00521555428712577	0.00121539819977482	0.00361304009676723	0.00509338901447358	0.00252875218461319	0.00343263918517717	0.00435615573415731	0.00336508116917517	0.00330691688623613	0.00256843114875506	0.00136327507490486	0.00276628325666272	0.000762369631036687	0.00451672874883805	0.00297747312180412	0.00575687494289638	0.00521882313638746	0.00432976756885276	0.00448824509113828	0.0063126352881422	0.00623399154791627	0.0041732481389427	0.00462441914606014	0.00309644776839787	0.00904541909058734	0.00506191182501871	0.00494370019773715	0.00351189014548649	0.00132189180975274	0.0052609006382394	0.00281073891418496	0.00382655740979155	0.0017098457329177	-0.00307242630801923	-0.00226898893690391	-0.00251286224847982	-0.00292933668771675	-0.00273324582440317	-0.00241647193760104	-0.00331992406011608	-0.00326361823898479	-0.00293612670308779	-0.0033799387125193	-0.00303149008397356	-0.00266368702249993	-0.00259821702585565	-0.00285812451955168	-0.00206456134272001	-0.00220495133383628	-0.00387892440470053	-0.00311418709780102	-0.00290643124130625	-0.00310436700645856	-0.0027072854808887	-0.00372797274040373	-0.002955270895093	-0.00232345209473692	-0.0031894739412289	-0.00242744938293956	-0.00281581601968044	-0.00271644946606924	-0.00263614318020395	-0.00225402526180826	-0.00257056394708865	-0.00302709164133597	-0.00276846460232042	-0.00279680756077241	-0.00321320817112653	-0.00299506026143482
Hexose-phosphate	-0.00116372989729687	-0.0012925747427151	-0.00157097426789032	-0.0012137512021364	-0.00135749421112523	-0.00131695774737737	-0.00165892248262383	-0.00112515716714302	-0.00123359122453216	-0.00137234973107621	-0.00125144360951903	-0.00123614242821208	-0.00122457034479765	-0.00132940356883268	-0.00112253802304457	-0.000867245700709738	-0.0011348657639376	-0.00112199642681263	-0.00118115617503854	-0.00137904323150994	-0.00138959828030575	-0.00166815309025627	-0.00113920619206406	-0.00141362095629537	-0.00149376749770655	-0.0013156001399478	-0.0012977451348752	-0.00138491923946483	-0.00133874201087378	-0.0014785503310918	-0.00118803237652833	-0.00110712597505356	-0.00102958977198337	-0.0011600085760661	-0.00106180776556389	-0.00118134079003889	-0.0125772924230004	-0.0125772986150586	-0.0125773002666798	-0.0125772952538842	-0.0125772979926584	-0.0125772903694426	-0.0125772979064864	-0.0125772939961998	-0.0125772968559176	-0.0125772952156803	-0.0125772981533441	-0.0125773024784612	-0.0125773073674748	-0.0125773040656696	-0.012577298321292	-0.0125772960128334	-0.0125772997668197	-0.012577293061719	-0.0125773009246501	-0.0125772962982787	-0.0125773066351361	-0.0125773042563814	-0.0125772972990613	-0.0125772975376407	-0.012577301792998	-0.0125772957767842	-0.0125772925493487	-0.0125772981148462	-0.012577304726437	-0.0125772933433604	-0.0125773022372231	-0.012577295762558	-0.0125773001653274	-0.0125773000944291	-0.0125773014428604	-0.0125772975865507
Pyruvic_acid	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.56717332815963e-05	-1.26071022920238e-05	-6.26150246377783e-06	0.00210151639134889	0.00232524257517063	0.00266683271237282	0.00288745573738021	0.00271907830075352	0.00374005900910239	0.00427525272300994	0.00467787459351661	0.00417827558412803	0.00586464394825596	0.00604567422371756	0.0060693662646286	0.00813531298458021	0.00816569354305561	0.00932203809763377	0.00013907509437508	5.51743930058195e-05	0.000108243044183229	0.00265066711810122	0.00247424019271323	0.00266220293519338	0.00358424038619463	0.00376914936570372	0.00343599049572692	0.00491458091321162	0.00435351669373372	0.00523639402136812	0.00593974584741326	0.00578747578295625	0.00648130964994763	0.00862690819679963	0.00745147621897649	0.00839000276910636
Fumaric_acid	-0.00129023777344764	-0.00161575793160777	-0.00240895014703441	-0.000725791866636076	-0.000336276936937468	-0.00103046483277811	-0.000540522307831627	0.00189664357263286	-0.00057615130525863	0.000332188729505685	0.00420238748237124	0.00257620108594818	0.0133296109328377	0.0126395873256642	0.00878648174901869	0.0550273416300178	0.0354766394253276	0.0344506262042389	-0.0011394204226763	-0.000663665161942165	-0.00125467908526074	-0.00114133944535566	-0.00120285523625332	-0.00160901377737644	-0.000771860692757866	0.000500041300531799	0.00165235687572624	-0.000219585533053646	0.000820198495062114	0.000708517789589523	0.00779462211381234	0.00930332994344439	0.00915398627348143	0.0261539096177228	0.0312950739973113	0.0333727029176039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
