	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.9182231802567987	0.41045958591235365	1.0	0.9733074473439355	-0.03903250088142685
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	1.0	0.373900966300059	1.0	59.40290465792373	5.89246157192564
4	L-Glutamine	2.0273059952934154	0.11255731277847772	1.0	1305.2746371627804	10.350137674588774
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine				1.0	0.0
9	L-Histidine				1.0	0.0
10	L-Proline	-0.4396234721745975	0.6829178839759241	1.0	0.6061789576236168	-0.7221843223740886
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine	1.0	0.373900966300059	1.0	14.856492008924373	3.893021594425289
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine				1.0	0.0
