metabolite_or_isotopologue	MCF001089_TD01	MCF001089_TD02	MCF001089_TD19	MCF001089_TD20	MCF001089_TD37	MCF001089_TD38	MCF001089_TD55	MCF001089_TD56
Fructose_1,6-bisphosphate_m+0		1.0	1.0					
Fructose_1,6-bisphosphate_m+1		0.0	0.0					
Fructose_1,6-bisphosphate_m+2		0.0	0.0					
Fructose_1,6-bisphosphate_m+3		0.0	0.0					
Fructose_1,6-bisphosphate_m+4		0.0	0.0					
Fructose_1,6-bisphosphate_m+5		0.0	0.0					
Fructose_1,6-bisphosphate_m+6		0.0	0.0					
Fumaric_acid_m+0	1.0	1.0	1.0	1.0				
Fumaric_acid_m+1	0.0	0.0	0.0	0.0				
Fumaric_acid_m+2	0.0	0.0	0.0	0.0				
Fumaric_acid_m+3	0.0004	0.0	0.0	0.0				
Fumaric_acid_m+4	0.0003	0.0003	0.0003	0.0005				
Glycine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Glycine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Hexose-phosphate_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+0	0.9766	0.9971	0.9847	0.9859	1.0	1.0	1.0	1.0
Hexose_m+1	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+2	0.0221	0.0079	0.0211	0.0161	0.0	0.0	0.0	0.0
Hexose_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+4	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0
Hexose_m+5	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ile_Leu_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine_m+2	0.0	0.0002	0.0	0.0	0.0	0.0002	0.0003	0.0
L-Alanine_m+3	0.0055	0.0069	0.0	0.0006	0.0	0.0	0.0	0.0
L-Arginine_m+0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Arginine_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine_m+0					1.0	1.0	0.9997	1.0
L-Asparagine_m+1					0.0	0.0	0.0	0.0
L-Asparagine_m+2					0.0	0.0	0.0112	0.0
L-Asparagine_m+3					0.0	0.0	0.0	0.0
L-Asparagine_m+4					0.0	0.0	0.0	0.0
L-Aspartic_acid_m+0	0.9863	0.9866	0.982	0.9831				
L-Aspartic_acid_m+1	0.0004	0.0	0.0014	0.0021				
L-Aspartic_acid_m+2	0.0117	0.0131	0.0159	0.0141				
L-Aspartic_acid_m+3	0.0016	0.0008	0.0004	0.0008				
L-Aspartic_acid_m+4	0.0	0.0001	0.0003	0.0				
L-Glutamic_acid_m+0	0.9491	0.9486	0.9508	0.9458				
L-Glutamic_acid_m+1	0.0103	0.0095	0.0084	0.0109				
L-Glutamic_acid_m+2	0.0399	0.0409	0.0387	0.0408				
L-Glutamic_acid_m+3	0.0	0.0004	0.0006	0.001				
L-Glutamic_acid_m+4	0.0008	0.0006	0.0015	0.0015				
L-Glutamic_acid_m+5	0.0	0.0	0.0	0.0				
L-Glutamine_m+0	1.0	1.0	0.997	0.9986				
L-Glutamine_m+1	0.0	0.0	0.0	0.0				
