	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid				1.0	0.0
1	Hexose	-1.0	0.373900966300059	1.0	0.028780553084921612	-5.118761872706712
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	Fumaric_acid				1.0	0.0
5	L-Malic_acid				1.0	0.0
6	L-Glutamic_acid	0.42052941061859056	0.6957079959761723	1.0	1.0528257735458413	0.0742667123009485
7	L-Glutamine				1.0	0.0
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine				1.0	0.0
12	L-Histidine				1.0	0.0
13	L-Proline	-0.24647569448054865	0.8174461208427162	1.0	0.9618073914443969	-0.056180081587862835
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine				1.0	0.0
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine				1.0	0.0
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	1.5755156836217732	0.19026082495349142	1.0	79.94116495096678	6.320866691622914
22	L-Tyrosine				1.0	0.0
