	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	1.1496805158853427	0.3143390765719729	0.8033109734617085	1.2664809095994218	0.3408253306360301
1	Hexose	1.4599717352643968	0.21807681169917237	0.6269708336351206	1.2469605480609012	0.31841582120826667
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	Fumaric_acid	-3.30663387538588	0.02974800417626016	0.22806803201799458	0.3265756420242695	-1.6145109048489865
5	L-Malic_acid	-3.5757095493162177	0.02325667823078178	0.22806803201799458	0.7603063167899226	-0.395347317541977
6	L-Glutamic_acid	-2.5816248354305857	0.06122233818617629	0.28162275565641093	0.8446803930026722	-0.24352253177994534
7	L-Glutamine	-2.936191461059857	0.04255029161625342	0.24466417679345717	0.6721051105481125	-0.5732412210973107
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine				1.0	0.0
12	L-Histidine				1.0	0.0
13	L-Proline	-0.01867079742456169	0.9859979188096634	1.0	1.0191277095406561	0.027334850695413797
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine				1.0	0.0
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine	-1.593116826359762	0.18635423995744207	0.6269708336351206	0.7036404261711758	-0.5070897227067612
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	-4.343079468853781	0.012223325004646506	0.22806803201799458	0.689694971578709	-0.5359696464585334
22	L-Tyrosine	-1.5052835356540584	0.20670562727866573	0.6269708336351206	0.6497138404408879	-0.6221236565604251
