metabolite_or_isotopologue	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	35768152.41666667	21132662.81666667	21016898.916666664	21915961.71666667	21587635.616666667	21750892.616666667	21540901.71666667	22233782.916666664	22551225.21666667	21211440.21666667	21916014.516666666	21437980.81666667	22619428.21666667	22936445.21666667	21949656.21666667	23807180.916666664	23143385.71666667	24608502.916666664
Hexose	23957348.64333333	23850557.64333333	23774741.64333333	26178846.64333333	25622838.64333333	25977348.64333333	26889340.64333333	25837975.64333333	26126375.64333333	25046692.64333333	26543300.64333333	25414377.64333333	26564763.64333333	26907684.64333333	26754142.64333333	28347932.64333333	26292502.64333333	27844184.64333333
Hexose-phosphate	2069691.566666667	1915534.566666667	1959712.566666667	1839084.566666667	1842182.566666667	1971316.566666667	1684708.566666667	1734938.566666667	1895524.566666667	722994.7666666666	779382.1666666666	1236237.566666667	1966093.566666667	2017738.566666667	2391439.566666667	2737838.566666667	2897905.566666667	2921561.566666667
Ile_Leu	2311992779.133333	2210982973.133333	2271657849.133333	2382664123.133333	2243258890.133333	2310481486.133333	2389754947.133333	2339735205.133333	2360890533.133333	2330571449.133333	2317860683.133333	2309607325.133333	2362583764.133333	2325626497.133333	2273957628.133333	2446755834.133333	2354166493.133333	2429296972.133333
L-Alanine	1935085.62	1763954.77	1783184.8400000003	1751399.54	2120167.1900000004	1855047.3600000003	1931224.9000000004	2282473.1300000004	2155290.25	1534609.27	1461636.14	1605580.6700000004	1895489.0	1889533.49	2208299.43	2115404.8800000004	1949609.5	2379571.3800000004
L-Arginine	76269336.1	76291863.1	74563374.1	75540123.1	74840935.1	74232404.1	74652772.1	74944609.1	75028077.1	74575919.1	75707331.1	76344375.1	75045885.1	76113451.1	73373127.1	75312587.1	73886599.1	75854911.1
L-Asparagine	3513705.7	3293797.9	3193591.3	3413033.6	3493789.4	3540365.49	3311566.8	3892175.2	3742585.61	3262869.5	3519631.2	3055583.99	3643395.45	3770870.5	3534957.41	4020027.07	3647923.6	4558513.0
L-Glutamine																3195203.6833333345	1882740.083333335	2785754.783333334
