	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.014333995613922283	0.9892499634384762	1.0	1.0031051461412883	0.004472838119589778
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	-0.03373686370807987	0.9747033501906286	1.0	0.9958902087362093	-0.0059413927973963705
4	L-Glutamine	-0.3961818428686697	0.7121958002447006	1.0	0.9775848678790967	-0.03270614115947056
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine	-9.447754899472818	0.0006999659072228978	0.013999318144457956	2.7627934526816557e-06	-18.46544085948297
9	L-Histidine				1.0	0.0
10	L-Proline	1.7108779924641897	0.16227380689043763	1.0	91.90003720970105	6.521993540539216
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine				1.0	0.0
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine				1.0	0.0
