	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.5021167247872014	0.641966533869414	1.0	1.2387508954376814	0.3088861002719333
1	Hexose	0.11278850462729606	0.9156320645561316	1.0	1.4334049279941374	0.5194462195697735
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	0.4476906525351358	0.67755216144818	1.0	1.2325511710109387	0.30164754326139603
4	Fumaric_acid				1.0	0.0
5	L-Malic_acid				1.0	0.0
6	L-Glutamic_acid	-1.171859749463004	0.30628881424708665	1.0	0.9583406007833415	-0.06138960413440573
7	L-Glutamine	1.6321680529165377	0.17798045976653032	1.0	1475.491718442992	10.526980107977073
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine				1.0	0.0
12	L-Histidine				1.0	0.0
13	L-Proline	-0.3201063929520178	0.7649111420665515	1.0	0.9410314968585333	-0.08768508330321692
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine				1.0	0.0
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine				1.0	0.0
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	-0.48641423134420125	0.6521211137173384	1.0	0.9713919214180746	-0.04187460665064509
22	L-Tyrosine				1.0	0.0
